iter	task	phase	tests	quality	pass	note
0	-	baseline	Rust: all executed except 1 known failure; Frontend: 5/5 current tests + build	-	-	cargo fmt/clippy pass; cargo test baseline fails only r-code-host final_delivery::f20_nsis_uses_r_code_icons because hooks lacks /RC_PROGRESS=; clean temporary npm ci passes, test:dev-server 4/4, test:popover 1/1 and production build pass; planned test:memory/test:app-shell scripts do not exist until T16A*
0	-	baseline	quality-check calibration	baseline	-	migrations.rs starts at file_loc=866 and max_comment_block=17, so T0M uses 20/100/60/4/1200 to reject new bloat without treating inherited SQL layout as a regression
1	T0M	engineer	12/12 targeted migrations	-	-	Added contiguous MigrationSpec registry, atomic schema_version initialization, BEGIN IMMEDIATE per-version apply with in-lock recheck, FK-off wrapper for migration 002, fault hooks and transactional version stamp
1	T0M	qa	1113/1113	min4	yes	Authored four sharp test groups for zero-write registry rejection, both rollback windows, parent-child/FK preservation and two-connection non-idempotent concurrency; full Rust regression green excluding only baseline F20
1	T0M	keep	1113/1113	min4	yes	T0M acceptance criteria met; source and test ownership remained disjoint after Engineer degraded locally and independent QA authored tests
1	T0W1	engineer	cargo check --workspace + lib clippy	-	-	Added schema 014 stable workspace owner ids, inherit/read_only/off mode, monotonic generation CAS, preserving UPSERT RETURNING, get_by_id, service winner identity, and host migration metadata
1	T0W1	qa	1120/1120	min4	yes	Authored schema13 fixture/fault, UUID serde, preserving upsert, CAS/read, reopen/case and two-database barrier concurrency tests; full Rust regression green excluding only baseline F20
1	T0W1	keep	1120/1120	min4	yes	T0W1 acceptance criteria met; schema14 creates no memory tables or rows and path is no longer the future memory owner key
1	T0W2	engineer	frontend build + cargo check	-	-	Added frontend Workspace identity/mode/generation wire contract plus stable browser-mock generation, legacy defaults, validation and identity reuse; Rust serde required no adapter
1	T0W2	qa	1122/1122	min5	yes	Authored Rust command serde/forget tests and browser identity/legacy/invalid-mode smoke; 3 unrelated app-shell 1px layout failures reproduce on clean baseline
1	T0W2	keep	1122/1122	min5	yes	T0W2 acceptance criteria met; WebView can retain opaque workspace ids while navigation remains canonical-path based
1	T0L1	engineer	production cargo check	-	-	Deleted ProjectMemory and memory_get/set registration; added fixed-path metadata-only legacy status with symlink_metadata and parameterized git ls-files
1	T0L1	qa	1101/1101	min5	yes	Authored real TempDir Git and command tests for tracking states, fixed path, byte/porcelain preservation, no response leakage, dangling symlink, unregistered workspace and retired backend surface
1	T0L1	keep	1101/1101	min5	yes	T0L1 acceptance criteria met; focused read-only security review found no >=8/10 path traversal, shell injection, content leak or residual backend writer finding
1	T0L2	engineer	isolated frontend build + cargo check	-	-	Removed the file-backed editor, write/read IPC and body-bearing browser mock; added metadata-only tracked/untracked/unknown notices without automatic import, delete or untrack actions
1	T0L2	qa	Rust 1106/1106 + targeted app-shell 1/1	min4	yes	Authored five-state browser contract plus frontend retirement and wiring tests; isolated build, fmt and clippy pass; 3 unrelated full app-shell 1px viewport failures reproduce on baseline
1	T0L2	keep	Rust 1106/1106 + targeted app-shell 1/1	min4	yes	T0L2 acceptance criteria met; security review corrected deleted-but-tracked priority and removed any claim that an absent untracked path proves Git history safe
