iter	phase	verdict	score	blocking	major	change
0	build	-	-	-	-	first-principles v2: single local user, global approval gate, project auto-apply, selected auxiliary provider/model, Hermes-aligned post-turn cadence; 20 tasks; validator ok with no warnings
1	critique	revise	58	0	6	PE: unify review effects/job/scrub transaction; freeze settings generation and complete DTO/cursors; linearize run-start vs forget/delete and child reserve; front-load UI harness; split oversized policy/IPC/UI/E2E tasks
2	revise	-	-	-	-	Applied all six PE findings: added single commit_success transaction with fault injection, version+review_generation and exact DTO/cursors, final-start/delete/forget guard plus child reserve gate, native ledger, frontend harness before UI, and split plan into 28 PR-sized tasks; validator ok with 0 errors/0 warnings
3	critique	revise	77	0	4	PE: move typed notification + tx helpers before commit_success and clean previews on lifecycle; make AgentRun/Task/RunStarted start atomic and freeze host lock/abort protocol; make old-generation turn scrub explicit; split frontend harness and lifecycle/security test megatasks
4	revise	-	-	-	-	Added T8N transactional notification backend; split run start into T13A1 DB commit_start and T13A2 guard/lock/unpublished cleanup; specified queued/running/failed generation scrub; split frontend harness into three PRs, lifecycle into two, and final verification into atomicity/lifecycle/privacy suites; removed legacy-file deletion UI; validator ok with 0 errors/0 warnings
5	critique	revise	83	0	3	PE: selected provider same-name endpoint/protocol/credential edit also needs generation invalidation; post-commit publish failure needs durable commit_abort_start compensation; split oversized guard/native/two-Codex lifecycle task; minor snapshot diagnostic and outcome ownership
6	revise	-	-	-	-	Added two-phase invalidation for selected-provider same-name save; StartCommitReceipt + idempotent commit_abort_start; split lifecycle into guard, native PreparedRun, Codex prepared-handle extraction, and Codex integration PRs; added snapshot-unavailable Activity, fixed outcome ownership, and bounded review text TTL/cap/cancel retention; validator ok with 0 errors/0 warnings
7	critique	revise	85	0	3	PE: apply final-start leases to every start-contract and terminal mutation, including sorted source/destination workspace move; serialize provider two-stage mutation with all memory settings updates; hard-gate raw-turn TTL at capture/enqueue/retry/claim/send/commit and persist suppressed turn count; keep standalone Codex lifecycle out of codex_mcp.rs
8	revise	-	-	-	-	Added ordered multi-key FinalStartCoordinator plus command-wide mutation barriers and state-preserving commit_abort_start; added ProviderMemoryMutationCoordinator across DB/config/keychain phases; split 30d retention into capture/queue and send/commit hard gates with persistent suppressed counts; extracted standalone codex_process.rs; validator ok with 0 errors/0 warnings (42 tasks, 15160 LOC)
9	critique	revise	89	0	1	PE: freeze canonical source workspace at final-start and carry it through post-RunEnded capture so A→B rebinding cannot misroute a project turn; minor notes requested cross-restart retention high-watermark and an explicit non-async Codex Drop fallback
10	revise	-	-	-	-	Added FrozenReviewSource to receipt/RunContext/turn/job, explicit-source capture service, and T13C completion lease spanning RunEnded→capture with A→B/B→pure/forget barriers; commit validates source registration rather than current Task binding; added persisted retention high-watermark and kill_on_drop+start_kill contract; validator ok with 0 errors/0 warnings (43 tasks, 15480 LOC); review budget 5 exhausted after applying all major/minor fixes
11	finalize	-	-	-	-	Applied confirmed product decisions: stable workspace UUID and inherit/read_only/off mode; Provider is processor never scope; split migrations 014/015; deterministic explicit remember; admission/sensitivity/retention; interrupted manual recovery; secure delete and clear-all physical cleanup; retired legacy workspace writers; closed app backup/JSON export/direct SQLite privacy paths; real Git zero-write and provider-independence E2E gates; 52 PR-sized tasks, 18670 LOC; validator ok with 0 errors/0 warnings
12	critique	revise	74	0	6	PE: make concurrent workspace open return persisted UUID; atomically commit migration SQL plus schema_version; include active scoped entries and usage in Reviewer input; reconcile 500 metadata cap with pending provenance; remove forward T19A2 test from T13C; replace blanket DB denylist with source-by-sink matrix
13	revise	-	-	-	-	Added T0M atomic BEGIN IMMEDIATE migration runner and RETURNING workspace open; froze MemoryReviewInput and send-time scoped entry load; made candidate/revision provenance nullable SET NULL so metadata caps stay hard; moved forget purge assertions to T19A2/T20B2; added explicit privacy matrix and sanitized-backup phase faults; validator ok with 0 errors/0 warnings (53 tasks, 18950 LOC)
14	critique	revise	77	0	5	PE: separate host-only frozen source from Reviewer wire identifiers; disclose Reviewer as well as main Provider for typed high-sensitive confirmation; bound terminal candidate and scrubbed-turn metadata; persist physical-cleanup marker for entry delete/forget; hard-limit in-memory sanitized backup resources
